Time,Latitude,Longitude
6:51:54 PM,43.66006627,-79.39647597
6:51:58 PM,43.66005334,-79.39651616
6:52:03 PM,43.66006627,-79.39656975
6:52:08 PM,43.66006627,-79.39662333
6:52:14 PM,43.66004041,-79.39666352
6:52:18 PM,43.66004041,-79.39669031
6:52:24 PM,43.66002748,-79.3967037
6:52:28 PM,43.66000162,-79.3967171
6:52:34 PM,43.65993697,-79.39667691
6:52:38 PM,43.65984647,-79.39665012
6:52:44 PM,43.65980768,-79.39665012
6:52:49 PM,43.65980768,-79.39669031
6:52:54 PM,43.65983354,-79.3967037
6:52:59 PM,43.65978182,-79.39669031
6:53:04 PM,43.65974303,-79.39666352
6:53:09 PM,43.65967839,-79.39662333
6:53:14 PM,43.65960081,-79.39658314
6:53:19 PM,43.6595491,-79.39656975
6:53:24 PM,43.65939395,-79.39646258
6:53:29 PM,43.65929051,-79.39643579
6:53:34 PM,43.65922587,-79.396409
6:53:39 PM,43.65917415,-79.3963822
6:53:44 PM,43.6591095,-79.39635541
6:53:49 PM,43.65908364,-79.39634202
6:53:54 PM,43.65907072,-79.39631522
6:53:59 PM,43.65904486,-79.39630183
6:54:04 PM,43.65905779,-79.39627504
6:54:09 PM,43.65899314,-79.39623485
6:54:14 PM,43.65895435,-79.39622145
6:54:19 PM,43.65888971,-79.39622145
6:54:24 PM,43.65876041,-79.3960741
6:54:29 PM,43.65874748,-79.39602052
6:54:34 PM,43.6587087,-79.39592675
6:54:39 PM,43.65866991,-79.39587316
6:54:44 PM,43.65864405,-79.39577939
6:54:49 PM,43.65861819,-79.39569902
6:54:54 PM,43.65859233,-79.39563204
6:55:00 PM,43.6585794,-79.39556506
6:55:04 PM,43.65856648,-79.39549808
6:55:10 PM,43.6585794,-79.3954177
6:55:14 PM,43.65863112,-79.39536412
6:55:20 PM,43.65866991,-79.39529714
6:55:24 PM,43.65868284,-79.39523016
6:55:30 PM,43.65874748,-79.39514979
6:55:35 PM,43.65874748,-79.39506941
6:55:40 PM,43.65878627,-79.39497564
6:55:45 PM,43.65886385,-79.39488187
6:55:50 PM,43.65888971,-79.39480149
6:55:55 PM,43.65890264,-79.39472112
6:56:00 PM,43.65890264,-79.39464074
6:56:05 PM,43.65895435,-79.39457377
6:56:10 PM,43.65895435,-79.39450679
6:56:15 PM,43.65898021,-79.39443981
6:56:20 PM,43.65896728,-79.39434604
6:56:25 PM,43.65899314,-79.39427906
6:56:30 PM,43.659019,-79.39421208
6:56:35 PM,43.65903193,-79.3941317
6:56:40 PM,43.65903193,-79.39406472
6:56:45 PM,43.65905779,-79.39397095
6:56:50 PM,43.65907072,-79.39390397
6:56:55 PM,43.65907072,-79.39383699
6:57:00 PM,43.65908364,-79.39377001
6:57:05 PM,43.65908364,-79.39370304
6:57:10 PM,43.65913536,-79.39362266
6:57:15 PM,43.65917415,-79.39355568
6:57:20 PM,43.65918708,-79.39346191
6:57:25 PM,43.65921294,-79.39339493
6:57:30 PM,43.65922587,-79.39331456
6:57:35 PM,43.65921294,-79.39324758
6:57:40 PM,43.65916122,-79.39315381
6:57:45 PM,43.65916122,-79.39308683
6:57:50 PM,43.65921294,-79.39300645
6:57:56 PM,43.65926465,-79.39295287
6:58:00 PM,43.65927758,-79.39287249
6:58:06 PM,43.65927758,-79.39281891
6:58:10 PM,43.65927758,-79.39276533
6:58:16 PM,43.65927758,-79.39269835
6:58:20 PM,43.65927758,-79.39263137
6:58:26 PM,43.65927758,-79.39259118
6:58:31 PM,43.65929051,-79.39249741
6:58:36 PM,43.65934223,-79.39241703
6:58:41 PM,43.65935516,-79.39233666
6:58:46 PM,43.65940687,-79.39225628
6:58:51 PM,43.65945859,-79.39217591
6:58:56 PM,43.65956203,-79.39210893
6:59:01 PM,43.65960081,-79.39212233
6:59:06 PM,43.65967839,-79.39202855
6:59:11 PM,43.65973011,-79.39196158
6:59:16 PM,43.65976889,-79.39194818
6:59:21 PM,43.65978182,-79.39192139
6:59:26 PM,43.65971718,-79.3918678
6:59:31 PM,43.65967839,-79.3918678
6:59:36 PM,43.65969132,-79.3918678
6:59:41 PM,43.65974303,-79.3918812
6:59:46 PM,43.65974303,-79.3918678
6:59:51 PM,43.65967839,-79.39177403
6:59:56 PM,43.65947152,-79.39162668
7:00:01 PM,43.6593293,-79.39145253
7:00:06 PM,43.65929051,-79.39135876
7:00:11 PM,43.65934223,-79.39129178
7:00:16 PM,43.65934223,-79.39119801
7:00:21 PM,43.65935516,-79.39111764
7:00:26 PM,43.65938102,-79.39105066
7:00:31 PM,43.6594198,-79.39095689
7:00:36 PM,43.65944566,-79.39087651
7:00:41 PM,43.65952324,-79.39075595
7:00:46 PM,43.65953617,-79.39066218
7:00:52 PM,43.6595491,-79.3906086
7:00:56 PM,43.65960081,-79.39052822
7:01:02 PM,43.65962667,-79.39048803
7:01:06 PM,43.65974303,-79.39043445
7:01:12 PM,43.6598594,-79.39036747
7:01:17 PM,43.65975596,-79.3902737
7:01:22 PM,43.65971718,-79.39020672
7:01:27 PM,43.65969132,-79.39013974
7:01:32 PM,43.65970425,-79.39001918
7:01:37 PM,43.65969132,-79.3899522
7:01:42 PM,43.65967839,-79.38988522
7:01:47 PM,43.65970425,-79.38981824
7:01:52 PM,43.65970425,-79.38977805
7:01:57 PM,43.65971718,-79.38969768
7:02:02 PM,43.65969132,-79.38960391
7:02:07 PM,43.65966546,-79.38956372
7:02:12 PM,43.65971718,-79.38949674
7:02:17 PM,43.65974303,-79.38945655
7:02:22 PM,43.65979475,-79.38936278
7:02:27 PM,43.65982061,-79.38928241
7:02:32 PM,43.65984647,-79.38922882
7:02:37 PM,43.65988526,-79.38914845
7:02:42 PM,43.65989819,-79.38908147
7:02:47 PM,43.65993697,-79.3889743
7:02:52 PM,43.65998869,-79.38890732
7:02:57 PM,43.66009212,-79.38885374
7:03:02 PM,43.6601697,-79.38881355
7:03:07 PM,43.6601697,-79.38873318
7:03:12 PM,43.66013091,-79.38870639
7:03:17 PM,43.66011798,-79.38867959
7:03:22 PM,43.66023434,-79.38867959
7:03:27 PM,43.66028606,-79.38863941
7:03:32 PM,43.66035071,-79.38855903
7:03:38 PM,43.6603895,-79.38846526
7:03:42 PM,43.66040242,-79.38843847
7:03:48 PM,43.66042828,-79.38837149
7:03:52 PM,43.66048,-79.38831791
7:03:58 PM,43.66040242,-79.38822414
7:04:02 PM,43.6603895,-79.38818395
7:04:08 PM,43.66041535,-79.38813036
7:04:13 PM,43.66037657,-79.38803659
7:04:18 PM,43.66020849,-79.38791603
7:04:23 PM,43.66020849,-79.38788924
7:04:28 PM,43.66020849,-79.38784905
7:04:33 PM,43.66020849,-79.38784905
7:04:38 PM,43.66023434,-79.38787584
7:04:43 PM,43.66036364,-79.38782226
7:04:48 PM,43.66036364,-79.38771509
7:04:53 PM,43.66041535,-79.38764811
7:04:58 PM,43.66041535,-79.38764811
7:05:03 PM,43.66037657,-79.3876883
7:05:08 PM,43.66035071,-79.38764811
7:05:13 PM,43.66023434,-79.38760793
7:05:18 PM,43.66014384,-79.38748736
7:05:23 PM,43.66009212,-79.38732661
7:05:28 PM,43.66001455,-79.38725963
7:05:33 PM,43.66002748,-79.38721945
7:05:38 PM,43.66005334,-79.38719266
7:05:43 PM,43.66018263,-79.38724624
7:05:48 PM,43.66028606,-79.38735341
7:05:53 PM,43.66027313,-79.38740699
7:05:58 PM,43.6601697,-79.38742038
7:06:03 PM,43.65992404,-79.38748736
7:06:08 PM,43.65967839,-79.38746057
7:06:13 PM,43.65949738,-79.3873668
7:06:18 PM,43.65952324,-79.38725963
7:06:23 PM,43.65961374,-79.38727303
7:06:28 PM,43.6596396,-79.38725963
7:06:34 PM,43.65949738,-79.38725963
7:06:38 PM,43.65929051,-79.38729982
7:06:44 PM,43.65918708,-79.38731322
7:06:48 PM,43.65917415,-79.38721945
7:06:54 PM,43.6592388,-79.38715247
7:06:58 PM,43.6592388,-79.38708549
7:07:04 PM,43.65917415,-79.38709888
7:07:09 PM,43.65905779,-79.38713907
7:07:14 PM,43.65895435,-79.38717926
7:07:19 PM,43.65894142,-79.38716586
7:07:24 PM,43.65886385,-79.38713907
7:07:29 PM,43.65887678,-79.38709888
7:07:34 PM,43.65890264,-79.38708549
7:07:39 PM,43.65895435,-79.38711228
7:07:44 PM,43.65887678,-79.38717926
7:07:49 PM,43.65885092,-79.38717926
7:07:54 PM,43.6587087,-79.38712568
7:07:59 PM,43.65856648,-79.38711228
7:08:04 PM,43.65851476,-79.3870587
7:08:09 PM,43.65846304,-79.3870587
7:08:14 PM,43.65841133,-79.38701851
7:08:19 PM,43.65837254,-79.38700511
7:08:24 PM,43.65838547,-79.38700511
7:08:29 PM,43.65837254,-79.38697832
7:08:34 PM,43.65832082,-79.38700511
7:08:39 PM,43.65825617,-79.38697832
7:08:44 PM,43.65812688,-79.38695153
7:08:49 PM,43.65798466,-79.38688455
7:08:54 PM,43.65802345,-79.38680418
7:08:59 PM,43.6579588,-79.38680418
7:09:04 PM,43.6578683,-79.38679078
7:09:09 PM,43.65782951,-79.3867238
7:09:14 PM,43.65781658,-79.38667022
7:09:19 PM,43.65779072,-79.38663003
7:09:24 PM,43.65768729,-79.38658984
7:09:30 PM,43.65766143,-79.38652286
7:09:34 PM,43.6576485,-79.38644249
7:09:40 PM,43.65766143,-79.38636211
7:09:44 PM,43.6576485,-79.38633532
7:09:50 PM,43.65757093,-79.38618797
7:09:55 PM,43.65737699,-79.3860942
7:10:00 PM,43.6573382,-79.38600043
7:10:05 PM,43.65741578,-79.38598703
7:10:10 PM,43.65745456,-79.38594684
7:10:15 PM,43.65748042,-79.38587986
7:10:20 PM,43.65745456,-79.38582628
7:10:25 PM,43.65740285,-79.3857593
